subject	label
gslth:Acidic_Igneous_Rock	acidic igneous rock
gslth:Amphibolite	amphibolite
gslth:Andesite	andesite
gslth:Aplite	aplite
gslth:Arenite	arenit
gslth:Arenite	arenite
gslth:Argillite	Argillite 
gslth:Ash_Tuff_Lapillistone_And_Lapilli_Tuff	ash tuff lapillistone and lapilli tuff
gslth:Basalt	basalt
gslth:Basic_Igneous_Rock	basic igneous rock
gslth:Breccia	breccia
gslth:Carbonate_Sedimentary_Rock	carbonate sedimentary rock
gslth:Chemical_Sedimentary_Material	chemical sedimentary material
gslth:Chlorite_Actinolite_Epidote_Metamorphic_Rock	chlorite actinolite epidote metamorphic rock
gslth:Clastic_Conglomerate	conglomerate
gslth:Clastic_Mudstone	mudstone
gslth:Clastic_Sandstone	sandstone
gslth:Clastic_Sedimentary_Rock	clastic sedimentary rock
gslth:Coal	coal
gslth:Coal	kohle
gslth:Dacite	dacite
gslth:Diamictite	diamictite
gslth:Dioritic_Rock	dioritic rock
gslth:Doleritic_Rock	doleritic rock
gslth:Dolostone	dolomite
gslth:Exotic_Alkaline_Rock	exotic alkaline rock
gslth:Fine_Grained_Igneous_Rock	fine grained igneous rock
gslth:Gabbroic_Rock	gabbroic rock
gslth:Gneiss	gneiss
gslth:Granitoid	granitoid
gslth:Granodiorite	granodiorite
gslth:Gravel	gravel
gslth:Hornfels	hornfels
gslth:Igneous_Material	igneous material
gslth:Limestone	limestone
gslth:Marble	marble
gslth:Metamorphic_Rock	metamorphic rock
gslth:Metasomatic_rock	metasomatic rock
gslth:Migmatite	migmatite
gslth:Monzodioritic_Rock	monzodioritic rock
gslth:Monzonitic_Rock	monzonitic rock
gslth:Mud	mud
gslth:Mylonitic_Rock	mylonitic rock
gslth:Non_Clastic_Siliceous_Sedimentary_Rock	non clastic siliceous sedimentary rock
gslth:Orthogneiss	orthogneiss
gslth:Paragneiss	paragneiss
gslth:Peridotite	peridotite
gslth:Phaneritic_Igneous_Rock	phaneritic igneous rock
gslth:Phyllite	phyllite
gslth:Porphyry	porphyry
gslth:Pyroclastic_Material	pyroclastic material
gslth:Pyroclastic_Rock	pyroclastic rock
gslth:Quartzite	quartzite
gslth:Rhyolitoid	rhyolitoid
gslth:Rock	rock
gslth:Sand	sand
gslth:Schist	schist
gslth:Sedimentary_Rock	sedimentary rock
gslth:Serpentinite	serpentinite
gslth:Shale	shale
gslth:Silt	silt
gslth:Siltstone	siltstone
gslth:Skarn	skarn
gslth:Slate	slate
gslth:Syenitic_Rock	syenitic rock
gslth:Tonalite	tonalite
gslth:Trachytoid	trachytoid
gslth:Tuff_Breccia_Agglomerate_Or_Pyroclastic_Breccia	tuff breccia agglomerate or pyroclastic breccia
gslth:Tuffite	tuffit
gslth:Tuffite	tuffite
gslth:Ultramafic_Igneous_Rock	ultramafic igneous rock
gslth:Wacke	piedra
gslth:Wacke	wacke
